mood,sleep_hours,focus_level,task_type,music_type,productivity_score
anxious,6.0,6,routine,lofi,53
happy,5.8,2,routine,instrumental,17
sad,6.8,1,routine,instrumental,0
calm,6.0,9,routine,lofi,100
happy,4.2,2,routine,lyrical,10
anxious,7.1,7,routine,instrumental,60
stressed,7.4,5,routine,lofi,38
stressed,6.1,3,study,lyrical,15
calm,6.3,2,study,lyrical,30
happy,6.6,1,routine,lyrical,15
anxious,8.0,4,study,lofi,33
happy,8.8,8,study,lofi,88
happy,8.5,1,routine,instrumental,15
sad,8.2,9,routine,lyrical,78
stressed,6.3,9,coding,silence,71
calm,3.3,7,creative,instrumental,50
happy,4.7,6,study,lofi,53
anxious,6.3,5,routine,instrumental,40
anxious,7.0,7,routine,lyrical,60
calm,8.4,4,routine,lyrical,50
stressed,8.9,8,routine,lyrical,65
happy,3.4,3,creative,lofi,21
calm,3.2,3,study,instrumental,15
anxious,8.2,2,study,lofi,13
sad,5.6,1,creative,silence,0
happy,3.9,3,creative,lofi,21
calm,6.5,8,creative,instrumental,90
stressed,3.7,8,coding,lyrical,22
stressed,4.4,2,routine,lyrical,0
sad,8.4,5,routine,lofi,41
sad,6.1,7,study,silence,58
calm,7.7,6,routine,lofi,73
stressed,5.1,5,study,silence,33
stressed,5.5,6,study,lofi,40
anxious,7.3,9,coding,lyrical,62
calm,4.1,10,creative,lyrical,65
anxious,5.4,4,study,lofi,25
calm,6.2,1,routine,lyrical,20
anxious,4.4,5,creative,lofi,28
calm,6.7,3,study,lofi,43
calm,5.7,3,creative,silence,32
happy,5.9,1,coding,lyrical,0
stressed,7.6,6,coding,instrumental,40
sad,8.7,2,creative,lofi,11
happy,3.9,1,study,lofi,0
anxious,8.3,9,study,instrumental,80
calm,4.4,2,creative,instrumental,15
happy,8.4,8,creative,instrumental,93
happy,4.5,4,coding,silence,30
stressed,8.6,3,study,lofi,18
calm,3.6,8,study,lofi,50
sad,3.3,7,routine,lyrical,33
calm,3.6,6,creative,silence,45
calm,5.9,4,creative,lofi,45
sad,4.7,2,creative,lofi,0
sad,3.2,3,study,instrumental,0
anxious,3.2,8,routine,silence,50
calm,8.6,9,routine,instrumental,100
happy,4.2,6,coding,instrumental,55
happy,4.1,4,creative,instrumental,38
calm,7.2,8,creative,lofi,93
happy,5.7,2,creative,silence,25
stressed,6.3,7,creative,instrumental,55
stressed,3.9,10,creative,instrumental,50
anxious,7.9,3,routine,lyrical,20
sad,8.4,4,study,silence,28
happy,5.8,5,coding,lyrical,39
stressed,3.1,6,coding,lyrical,2
happy,7.9,2,study,lofi,28
calm,8.0,2,creative,instrumental,30
sad,8.8,2,creative,lofi,11
calm,7.8,3,coding,lyrical,40
anxious,5.1,8,coding,silence,58
happy,5.4,10,routine,instrumental,97
calm,8.2,3,routine,instrumental,40
happy,3.3,1,routine,instrumental,0
anxious,7.8,4,coding,silence,26
calm,5.0,6,creative,silence,62
sad,8.3,10,routine,silence,88
anxious,3.5,8,routine,instrumental,45
calm,5.1,7,study,silence,72
calm,5.6,6,coding,lofi,73
anxious,7.0,3,routine,lofi,23
stressed,7.0,10,creative,instrumental,85
sad,4.8,10,coding,lyrical,65
stressed,6.3,6,coding,silence,41
stressed,6.0,2,coding,lyrical,0
calm,4.4,1,coding,lyrical,5
sad,5.2,5,study,lyrical,30
stressed,5.1,1,creative,lofi,0
anxious,4.5,1,study,silence,0
anxious,7.4,3,study,lyrical,20
stressed,3.3,8,creative,lofi,43
sad,6.2,4,routine,lofi,31
stressed,8.3,8,coding,lyrical,47
anxious,3.7,5,study,instrumental,15
anxious,6.0,7,coding,instrumental,55
anxious,7.2,10,coding,silence,86
sad,5.7,5,study,lyrical,30
anxious,5.8,5,coding,silence,28
happy,5.7,5,creative,lyrical,55
anxious,4.7,6,study,silence,41
calm,4.3,10,creative,instrumental,65
stressed,8.0,1,study,silence,1
sad,7.5,7,study,lofi,61
anxious,5.5,1,routine,lofi,0
happy,3.7,8,routine,lyrical,50
sad,3.8,10,study,instrumental,50
calm,5.4,8,coding,lyrical,82
calm,3.7,2,creative,lofi,8
stressed,3.2,5,routine,instrumental,10
happy,7.7,9,coding,lofi,98
stressed,7.1,4,routine,silence,31
sad,6.0,8,routine,lyrical,68
stressed,5.7,5,coding,instrumental,22
sad,4.8,1,routine,lyrical,0
calm,5.7,3,coding,instrumental,45
sad,5.8,6,coding,silence,40
stressed,8.5,4,routine,silence,31
calm,3.1,10,coding,lyrical,50
stressed,7.0,6,routine,instrumental,45
stressed,6.6,2,routine,lofi,8
sad,5.6,10,study,lyrical,80
happy,4.1,3,study,lyrical,20
stressed,5.1,3,study,lofi,10
anxious,8.3,7,study,lofi,63
calm,8.7,9,routine,lofi,100
anxious,4.3,8,routine,instrumental,55
calm,3.1,3,creative,silence,15
stressed,8.2,2,routine,lyrical,5
happy,4.9,5,study,lofi,43
happy,7.1,6,study,lofi,68
anxious,4.3,6,creative,silence,41
happy,8.5,3,routine,lofi,38
sad,4.6,8,coding,silence,53
happy,6.9,1,study,instrumental,15
sad,5.4,7,coding,instrumental,55
stressed,3.3,1,coding,lofi,0
calm,8.5,8,routine,silence,90
anxious,8.5,10,routine,lyrical,90
happy,8.1,10,routine,lyrical,100
calm,4.9,10,study,silence,65
happy,5.1,4,routine,lofi,40
stressed,5.5,1,routine,silence,0
anxious,8.0,1,study,instrumental,0
calm,3.4,2,creative,silence,5
happy,8.4,3,routine,silence,35
anxious,5.6,1,routine,instrumental,0
sad,8.5,10,study,lyrical,88
calm,6.7,2,coding,lyrical,30
happy,8.9,6,coding,lyrical,57
calm,4.8,10,creative,lofi,65
anxious,3.2,9,coding,lyrical,37
anxious,6.1,1,routine,silence,6
calm,8.4,10,routine,silence,100
anxious,4.4,4,routine,instrumental,15
anxious,7.0,10,coding,lyrical,72
calm,8.1,7,creative,instrumental,80
anxious,8.9,1,creative,lofi,3
anxious,3.5,7,study,lyrical,35
stressed,5.3,3,creative,lyrical,7
calm,7.8,4,coding,lofi,61
anxious,6.5,3,coding,instrumental,15
anxious,4.7,10,coding,instrumental,65
calm,8.4,6,routine,silence,70
sad,8.1,3,study,lofi,21
happy,7.5,2,creative,instrumental,33
anxious,6.1,9,coding,lofi,73
stressed,7.2,8,study,lyrical,65
happy,8.2,5,study,lyrical,55
sad,7.0,1,routine,instrumental,0
anxious,5.5,2,coding,silence,0
sad,3.6,1,routine,instrumental,0
sad,4.9,7,routine,silence,43
calm,6.7,7,routine,lyrical,80
calm,5.2,3,routine,silence,32
happy,8.7,2,coding,instrumental,30
calm,7.8,6,routine,lyrical,70
anxious,4.1,2,study,lofi,0
happy,3.4,3,creative,lofi,21
anxious,4.6,5,coding,lyrical,7
calm,7.5,2,coding,lofi,41
sad,6.5,2,study,lyrical,8
stressed,8.6,9,study,instrumental,75
stressed,4.6,10,routine,silence,65
anxious,3.6,10,study,lofi,50
calm,4.0,3,creative,instrumental,25
happy,3.7,4,coding,instrumental,25
anxious,4.9,8,creative,instrumental,55
stressed,4.3,3,coding,lofi,0
happy,5.1,4,routine,silence,37
anxious,5.6,10,study,silence,88
sad,4.9,8,routine,instrumental,53
sad,7.9,4,creative,lyrical,28
happy,7.2,3,study,instrumental,35
sad,5.6,10,creative,silence,80
calm,7.8,6,study,lofi,73
calm,6.3,6,routine,silence,70
anxious,7.1,2,study,lofi,13
sad,7.4,10,creative,lofi,91
anxious,8.6,9,coding,lyrical,62
sad,3.5,3,creative,instrumental,0
happy,5.9,1,study,lyrical,7
sad,7.7,6,creative,lyrical,48
calm,3.6,7,coding,lofi,50
happy,4.9,4,study,instrumental,30
happy,3.2,2,creative,lyrical,8
stressed,9.0,9,study,lyrical,75
calm,9.0,4,study,instrumental,50
happy,7.7,3,coding,lyrical,27
happy,4.0,7,creative,lyrical,65
stressed,3.9,6,study,instrumental,20
happy,7.8,4,routine,instrumental,45
stressed,4.6,9,study,lofi,63
stressed,4.3,8,coding,lyrical,32
sad,3.9,9,study,lofi,50
anxious,3.3,2,routine,instrumental,0
sad,3.3,1,study,silence,0
anxious,5.5,1,creative,lofi,0
sad,4.2,9,creative,lyrical,63
calm,6.6,1,creative,lofi,23
happy,7.3,8,creative,silence,93
happy,7.8,2,study,silence,25
happy,6.0,8,coding,instrumental,90
anxious,4.1,10,creative,silence,65
calm,4.0,4,coding,silence,43
calm,7.7,6,coding,lyrical,70
happy,8.9,2,routine,lofi,28
stressed,4.5,8,study,lofi,53
happy,6.7,8,routine,lofi,88
stressed,4.0,1,routine,silence,0
stressed,7.4,6,study,silence,51
sad,3.6,3,coding,lofi,0
stressed,3.2,9,routine,instrumental,50
calm,7.4,3,study,lyrical,40
sad,3.8,9,routine,silence,50
sad,8.9,9,creative,silence,78
sad,3.8,7,creative,instrumental,33
calm,7.1,2,creative,lyrical,30
sad,5.2,2,coding,silence,0
sad,7.0,8,coding,lyrical,60
calm,5.4,9,creative,instrumental,92
happy,8.8,3,coding,instrumental,40
stressed,7.4,8,coding,lofi,58
sad,4.5,1,creative,instrumental,0
calm,8.5,4,coding,lyrical,50
sad,6.6,9,creative,lofi,81
calm,8.6,8,coding,lyrical,90
stressed,4.6,9,coding,lofi,53
calm,4.1,2,creative,lyrical,15
calm,6.8,1,study,lofi,23
happy,8.7,10,creative,instrumental,100
calm,4.2,3,study,lofi,28
anxious,3.1,5,routine,instrumental,15
stressed,8.4,6,routine,lofi,48
stressed,5.8,1,study,lyrical,0
happy,8.8,5,creative,lofi,66
anxious,4.9,8,study,silence,61
anxious,7.9,1,creative,instrumental,0
calm,3.3,5,creative,lofi,38
sad,7.4,5,study,instrumental,38
calm,8.9,2,creative,instrumental,30
anxious,8.6,7,coding,lyrical,42
stressed,4.9,1,coding,instrumental,0
happy,7.6,8,creative,silence,93
stressed,6.1,4,creative,lyrical,25
calm,4.3,2,coding,silence,23
sad,5.4,3,routine,lofi,13
stressed,4.6,4,coding,lofi,3
happy,4.7,10,study,silence,65
anxious,3.8,7,creative,lyrical,35
sad,4.4,2,routine,instrumental,0
anxious,6.3,1,study,silence,6
sad,4.3,7,creative,silence,43
calm,8.2,5,study,lyrical,60
sad,8.6,7,creative,silence,58
happy,4.2,6,study,lofi,53
happy,4.6,7,coding,silence,60
calm,8.6,6,creative,silence,70
happy,4.2,9,routine,instrumental,65
anxious,3.5,9,routine,silence,50
stressed,6.1,6,creative,lyrical,45
sad,7.4,1,study,silence,0
anxious,8.0,3,coding,instrumental,15
happy,4.6,7,coding,instrumental,65
stressed,5.3,10,coding,silence,73
happy,8.9,5,study,lyrical,55
happy,3.1,9,study,silence,50
stressed,5.2,7,coding,silence,43
calm,4.7,3,study,silence,25
stressed,7.5,9,creative,lyrical,75
anxious,8.5,9,study,lyrical,80
anxious,6.3,1,routine,lofi,3
happy,6.5,8,routine,lyrical,85
sad,6.7,8,routine,lofi,71
sad,7.3,2,coding,silence,8
happy,8.5,10,routine,lyrical,100
calm,4.4,2,creative,lofi,18
stressed,4.5,6,routine,instrumental,30
happy,4.9,8,coding,lofi,65
calm,6.6,8,creative,lofi,93
stressed,3.2,7,study,lyrical,30
calm,5.5,6,creative,silence,62
anxious,6.7,3,coding,silence,16
calm,6.7,4,routine,lofi,53
calm,8.8,5,creative,lofi,63
calm,4.8,5,study,lofi,48
stressed,5.6,8,routine,lyrical,57
calm,4.6,9,creative,instrumental,65
calm,3.6,7,creative,instrumental,50
sad,4.0,8,coding,silence,53
calm,8.5,9,routine,lofi,100
sad,4.3,8,routine,lofi,56
happy,7.8,2,study,lyrical,25
sad,3.1,6,routine,instrumental,23
anxious,8.2,10,study,instrumental,90
anxious,3.1,2,coding,silence,0
calm,5.5,1,creative,lyrical,12
sad,3.9,8,coding,lyrical,35
calm,9.0,6,coding,silence,78
calm,7.7,4,coding,instrumental,63
anxious,6.5,1,study,silence,6
anxious,3.7,7,study,lyrical,35
stressed,5.7,10,coding,silence,73
stressed,3.5,6,study,lofi,23
sad,3.9,9,routine,silence,50
happy,6.4,9,routine,silence,95
sad,6.1,7,routine,lyrical,58
sad,6.4,1,coding,instrumental,3
stressed,7.9,7,coding,lyrical,37
sad,9.0,5,creative,lyrical,38
sad,8.9,9,study,lyrical,78
calm,7.8,7,study,silence,80
sad,4.5,8,study,silence,53
sad,3.8,10,routine,lofi,50
anxious,3.3,1,study,silence,0
happy,4.7,10,coding,lyrical,65
calm,8.3,7,study,lyrical,80
happy,6.7,2,study,instrumental,25
happy,8.4,9,coding,lyrical,87
anxious,5.4,9,routine,instrumental,72
sad,5.0,7,coding,silence,50
stressed,4.2,1,creative,lofi,0
stressed,6.3,7,study,instrumental,55
happy,8.2,8,creative,lofi,96
stressed,4.1,10,routine,silence,65
sad,3.3,1,coding,instrumental,0
sad,4.3,2,creative,silence,0
stressed,7.4,8,creative,lofi,68
stressed,5.5,4,study,lofi,20
happy,6.9,2,creative,lofi,36
sad,4.5,4,coding,instrumental,18
happy,3.6,9,study,silence,50
happy,4.9,5,study,instrumental,40
happy,7.8,2,creative,lofi,36
sad,5.7,1,routine,instrumental,0
anxious,7.3,10,study,lyrical,90
happy,6.7,3,study,lyrical,35
anxious,6.0,9,study,lyrical,80
calm,6.4,2,routine,lofi,33
sad,8.6,3,creative,instrumental,18
stressed,3.2,5,study,silence,16
sad,6.8,1,study,instrumental,0
stressed,6.3,1,routine,lofi,0
anxious,8.9,9,study,lofi,83
anxious,8.3,4,study,silence,36
sad,6.3,1,coding,silence,0
calm,8.5,2,coding,instrumental,43
sad,7.7,1,routine,instrumental,0
stressed,4.0,2,study,lofi,0
sad,5.0,10,creative,silence,80
happy,8.6,1,routine,lofi,18
stressed,7.5,9,creative,lofi,78
happy,6.4,8,creative,lofi,96
stressed,5.8,9,coding,lyrical,49
happy,3.4,5,coding,lyrical,22
anxious,8.9,1,coding,instrumental,0
sad,3.2,5,study,lofi,16
calm,6.8,8,creative,lofi,93
sad,3.4,4,routine,silence,3
anxious,4.0,6,study,silence,41
stressed,5.0,10,creative,instrumental,77
stressed,7.5,6,study,instrumental,45
calm,8.4,10,routine,silence,100
anxious,5.4,8,study,silence,68
anxious,5.1,2,coding,lyrical,0
sad,5.4,8,study,lofi,63
happy,4.8,10,coding,lofi,65
happy,5.4,5,routine,lofi,50
stressed,3.4,5,study,lyrical,10
anxious,8.7,6,routine,silence,56
sad,5.5,8,routine,lyrical,60
sad,7.4,7,study,lyrical,58
happy,4.7,5,coding,instrumental,45
sad,3.6,10,routine,silence,50
sad,7.7,7,coding,instrumental,63
sad,7.2,6,routine,instrumental,48
stressed,7.5,9,routine,instrumental,75
anxious,5.8,1,study,instrumental,0
calm,5.5,3,creative,silence,32
sad,4.5,3,creative,lofi,6
anxious,6.8,7,study,instrumental,60
anxious,6.4,6,creative,lyrical,50
sad,6.5,1,study,instrumental,0
happy,4.5,4,creative,lofi,41
stressed,7.9,9,coding,instrumental,70
sad,3.9,9,routine,lofi,50
anxious,3.8,10,routine,lyrical,50
calm,7.9,8,creative,silence,90
sad,7.1,5,creative,instrumental,38
sad,3.9,6,creative,instrumental,23
stressed,8.5,4,coding,lyrical,7
sad,4.1,7,coding,lyrical,35
anxious,3.3,6,routine,lofi,28
calm,5.0,3,creative,lyrical,32
anxious,8.5,4,creative,lofi,33
anxious,7.3,7,routine,lofi,63
happy,3.7,9,coding,instrumental,50
stressed,8.8,8,creative,silence,71
happy,8.2,1,study,silence,15
stressed,6.2,9,study,silence,81
stressed,8.4,4,routine,lyrical,25
happy,6.7,6,routine,silence,65
calm,6.9,3,creative,silence,40
anxious,4.4,7,creative,instrumental,45
happy,5.1,8,routine,silence,77
sad,3.5,5,study,lofi,16
calm,7.4,3,study,instrumental,40
anxious,4.7,4,creative,silence,21
happy,7.3,9,routine,lyrical,95
happy,5.9,3,creative,lofi,38
happy,4.1,1,coding,instrumental,5
stressed,4.3,5,routine,silence,26
stressed,4.5,7,coding,lyrical,22
anxious,8.2,4,study,instrumental,30
anxious,6.7,10,coding,silence,86
sad,4.5,6,study,instrumental,33
sad,8.6,6,study,silence,48
stressed,5.1,10,routine,instrumental,77
happy,6.6,6,routine,silence,65
calm,8.2,7,study,lofi,83
anxious,8.6,8,routine,lofi,73
sad,7.3,4,creative,lofi,31
stressed,8.7,9,study,silence,81
anxious,8.8,10,creative,lyrical,90
calm,3.7,8,study,silence,50
stressed,6.8,3,creative,instrumental,15
calm,7.0,2,coding,lyrical,30
happy,3.0,6,creative,lofi,50
sad,5.7,5,routine,instrumental,30
calm,7.7,3,creative,lofi,43
calm,8.2,8,routine,silence,90
sad,7.9,4,creative,silence,28
sad,4.6,7,coding,lofi,46
sad,4.2,3,coding,lyrical,0
stressed,4.2,8,routine,lyrical,50
anxious,4.5,4,creative,instrumental,15
sad,4.4,7,study,silence,43
happy,8.9,6,coding,lofi,68
happy,7.5,2,coding,lyrical,17
anxious,8.8,10,coding,silence,86
calm,3.6,10,coding,lofi,50
anxious,7.8,6,study,lofi,53
stressed,3.3,2,coding,instrumental,0
happy,7.6,2,coding,instrumental,30
happy,4.2,5,study,lyrical,40
calm,3.8,10,study,silence,50
sad,6.8,6,coding,silence,48
happy,7.7,5,routine,lofi,58
sad,7.2,9,study,lyrical,78
sad,3.6,4,creative,lofi,6
anxious,7.8,5,creative,silence,46
sad,8.6,8,study,lofi,71
sad,6.9,6,routine,silence,48
sad,7.2,8,creative,instrumental,68
anxious,6.3,10,creative,instrumental,90
stressed,7.0,9,routine,lofi,78
sad,8.3,10,routine,lyrical,88
stressed,6.7,2,coding,instrumental,0
happy,7.5,5,routine,instrumental,55
anxious,3.1,2,creative,lofi,0
happy,5.7,5,study,instrumental,47
sad,8.4,4,routine,instrumental,28
anxious,5.3,8,study,lofi,65
happy,5.0,5,coding,lofi,50
sad,4.1,1,coding,instrumental,0
happy,5.6,4,creative,lofi,48
calm,8.1,2,routine,lofi,33
stressed,4.5,10,creative,lyrical,65
stressed,6.7,5,study,lyrical,35
happy,7.8,8,creative,lyrical,93
calm,8.3,6,study,lofi,73
sad,8.2,6,creative,lyrical,48
sad,8.3,7,routine,lofi,61
calm,7.6,10,study,silence,100
anxious,6.7,10,coding,instrumental,85
sad,3.6,7,routine,lofi,36
stressed,8.3,4,routine,instrumental,25
stressed,4.2,3,study,silence,6
sad,3.4,1,study,lyrical,0
happy,6.5,1,routine,silence,15
anxious,6.1,8,coding,instrumental,65
stressed,6.4,3,routine,lyrical,15
happy,8.1,5,study,lyrical,55
anxious,7.8,6,routine,lofi,53
happy,4.4,2,routine,silence,10
calm,7.7,1,study,lofi,23
stressed,4.7,8,study,lyrical,50
stressed,6.9,8,coding,silence,61
stressed,5.3,5,coding,silence,23
anxious,7.4,2,routine,silence,16
